State,County,Census Tract,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Virginia,"Accomack County, VA",901,74.5,56.9-75.1,1.5145
Virginia,"Accomack County, VA",902,77.5,75.2-77.5,1.1577
Virginia,"Accomack County, VA",903,76.1,75.2-77.5,3.4158
Virginia,"Accomack County, VA",904,77.7,77.6-79.5,1.201
Virginia,"Accomack County, VA",905,73.1,56.9-75.1,2.2543
Virginia,"Accomack County, VA",906,77,75.2-77.5,1.6637
Virginia,"Accomack County, VA",907,76.4,75.2-77.5,2.3883
Virginia,"Accomack County, VA",908,82.8,81.7-97.5,3.1963
Virginia,"Accomack County, VA",9801,,,
Virginia,"Accomack County, VA",9802,,,
Virginia,Accomack County,9901,,,
Virginia,Accomack County,9902,,,
Virginia,"Albemarle County, VA",101,84.3,81.7-97.5,1.7333
Virginia,"Albemarle County, VA",102.01,77.3,75.2-77.5,3.2954
Virginia,"Albemarle County, VA",102.02,80.9,79.6-81.6,1.7264
Virginia,"Albemarle County, VA",103,81.9,81.7-97.5,1.5249
Virginia,"Albemarle County, VA",104.01,80.6,79.6-81.6,1.286
Virginia,"Albemarle County, VA",104.02,83.7,81.7-97.5,2.3694
Virginia,"Albemarle County, VA",105,82.8,81.7-97.5,1.8134
Virginia,"Albemarle County, VA",106.01,79.7,79.6-81.6,0.9182
Virginia,"Albemarle County, VA",106.02,80.2,79.6-81.6,0.9596
Virginia,"Albemarle County, VA",107,76.7,75.2-77.5,1.4093
Virginia,"Albemarle County, VA",108,82.6,81.7-97.5,1.4965
Virginia,"Albemarle County, VA",109.01,78.6,77.6-79.5,1.2605
Virginia,"Albemarle County, VA",109.02,,,
Virginia,"Albemarle County, VA",109.03,,,
Virginia,"Albemarle County, VA",110,86.3,81.7-97.5,2.2748
Virginia,"Albemarle County, VA",111,80.7,79.6-81.6,1.7141
Virginia,"Albemarle County, VA",112.01,78.5,77.6-79.5,1.0813
Virginia,"Albemarle County, VA",112.02,87.1,81.7-97.5,2.7303
Virginia,"Albemarle County, VA",113.01,84.1,81.7-97.5,3.1424
Virginia,"Albemarle County, VA",113.02,75.5,75.2-77.5,1.91
Virginia,"Albemarle County, VA",113.03,80,79.6-81.6,1.7866
Virginia,"Albemarle County, VA",114,79,77.6-79.5,1.3303
Virginia,"Alleghany County, VA",701,69.7,56.9-75.1,1.3343
Virginia,"Alleghany County, VA",801,81.5,79.6-81.6,1.5309
Virginia,"Alleghany County, VA",802.01,78.1,77.6-79.5,1.5773
Virginia,"Alleghany County, VA",802.02,75.6,75.2-77.5,2.9156
Virginia,"Alleghany County, VA",803.01,79,77.6-79.5,2.3176
Virginia,"Alleghany County, VA",803.02,76.8,75.2-77.5,3.22
Virginia,"Amelia County, VA",9301,75.3,75.2-77.5,1.2122
Virginia,"Amelia County, VA",9302,77.2,75.2-77.5,1.4801
Virginia,"Amherst County, VA",101,77.1,75.2-77.5,1.3891
Virginia,"Amherst County, VA",102,76.2,75.2-77.5,0.6805
Virginia,"Amherst County, VA",103,79.6,79.6-81.6,1.5425
Virginia,"Amherst County, VA",104.01,78.4,77.6-79.5,2.2207
Virginia,"Amherst County, VA",104.02,79.1,77.6-79.5,2.422
Virginia,"Amherst County, VA",105.02,,,
Virginia,"Amherst County, VA",105.03,71.8,56.9-75.1,1.8415
Virginia,"Amherst County, VA",105.04,74.7,56.9-75.1,1.0001
Virginia,"Amherst County, VA",106,76.4,75.2-77.5,1.9483
Virginia,"Appomattox County, VA",401,77,75.2-77.5,1.0829
Virginia,"Appomattox County, VA",402,77.2,75.2-77.5,1.8338
Virginia,"Appomattox County, VA",403,77.4,75.2-77.5,1.2849
Virginia,"Arlington County, VA",1001,82.5,81.7-97.5,1.3342
Virginia,"Arlington County, VA",1002,84.8,81.7-97.5,1.612
Virginia,"Arlington County, VA",1003,86.5,81.7-97.5,2.1874
Virginia,"Arlington County, VA",1004,86.4,81.7-97.5,1.9305
Virginia,"Arlington County, VA",1005,84.4,81.7-97.5,1.6612
Virginia,"Arlington County, VA",1006,79,77.6-79.5,1.5326
Virginia,"Arlington County, VA",1007,82.7,81.7-97.5,1.7523
Virginia,"Arlington County, VA",1008,81.5,79.6-81.6,1.1456
Virginia,"Arlington County, VA",1009,85.6,81.7-97.5,3.7733
Virginia,"Arlington County, VA",1010,79.9,79.6-81.6,1.792
Virginia,"Arlington County, VA",1011,84,81.7-97.5,1.6893
Virginia,"Arlington County, VA",1012,82.7,81.7-97.5,1.9635
Virginia,"Arlington County, VA",1013,81.1,79.6-81.6,1.2125
Virginia,"Arlington County, VA",1014.01,,,
Virginia,"Arlington County, VA",1014.02,81.5,79.6-81.6,2.0914
Virginia,"Arlington County, VA",1014.03,80.7,79.6-81.6,0.9668
Virginia,"Arlington County, VA",1014.04,83.3,81.7-97.5,3.5362
Virginia,"Arlington County, VA",1015,88,81.7-97.5,3.2678
Virginia,"Arlington County, VA",1016.01,,,
Virginia,"Arlington County, VA",1016.02,,,
Virginia,"Arlington County, VA",1016.03,,,
Virginia,"Arlington County, VA",1017.01,,,
Virginia,"Arlington County, VA",1017.02,80.9,79.6-81.6,2.0657
Virginia,"Arlington County, VA",1017.03,80.9,79.6-81.6,3.6521
Virginia,"Arlington County, VA",1018.01,,,
Virginia,"Arlington County, VA",1018.02,80.9,79.6-81.6,3.2004
Virginia,"Arlington County, VA",1018.03,79,77.6-79.5,3.6191
Virginia,"Arlington County, VA",1019,80.2,79.6-81.6,1.4486
Virginia,"Arlington County, VA",1020.01,78.4,77.6-79.5,1.7507
Virginia,"Arlington County, VA",1020.02,,,
Virginia,"Arlington County, VA",1020.03,79.6,79.6-81.6,2.0665
Virginia,"Arlington County, VA",1021,84.9,81.7-97.5,2.5456
Virginia,"Arlington County, VA",1022,77,75.2-77.5,2.2018
Virginia,"Arlington County, VA",1023.01,81.7,81.7-97.5,2.5333
Virginia,"Arlington County, VA",1023.02,82.5,81.7-97.5,3.806
Virginia,"Arlington County, VA",1024,81.8,81.7-97.5,1.8094
Virginia,"Arlington County, VA",1025,80.5,79.6-81.6,1.6146
Virginia,"Arlington County, VA",1026,81.7,81.7-97.5,2.7599
Virginia,"Arlington County, VA",1027.01,78.9,77.6-79.5,1.6826
Virginia,"Arlington County, VA",1027.02,,,
Virginia,"Arlington County, VA",1028.01,84.3,81.7-97.5,3.2335
Virginia,"Arlington County, VA",1028.02,80.7,79.6-81.6,2.014
Virginia,"Arlington County, VA",1029.01,,,
Virginia,"Arlington County, VA",1029.02,,,
Virginia,"Arlington County, VA",1030,83.1,81.7-97.5,2.1834
Virginia,"Arlington County, VA",1031,79.7,79.6-81.6,1.6097
Virginia,"Arlington County, VA",1032,79.9,79.6-81.6,1.7603
Virginia,"Arlington County, VA",1033,80.5,79.6-81.6,1.8612
Virginia,"Arlington County, VA",1034.01,,,
Virginia,"Arlington County, VA",1034.02,85.7,81.7-97.5,3.5244
Virginia,"Arlington County, VA",1035.01,,,
Virginia,"Arlington County, VA",1035.02,79.9,79.6-81.6,1.4316
Virginia,"Arlington County, VA",1035.03,,,
Virginia,"Arlington County, VA",1036.01,84.6,81.7-97.5,3.3619
Virginia,"Arlington County, VA",1036.02,,,
Virginia,"Arlington County, VA",1037,87.1,81.7-97.5,2.1448
Virginia,"Arlington County, VA",1038,79,77.6-79.5,3.5426
Virginia,"Arlington County, VA",9801,,,
Virginia,"Arlington County, VA",9802,,,
Virginia,"Augusta County, VA",701,79.3,77.6-79.5,1.5856
Virginia,"Augusta County, VA",702,80.3,79.6-81.6,1.6249
Virginia,"Augusta County, VA",703,80.9,79.6-81.6,1.4288
Virginia,"Augusta County, VA",704,77.8,77.6-79.5,2.6023
Virginia,"Augusta County, VA",705,76.3,75.2-77.5,0.9931
Virginia,"Augusta County, VA",706,78.9,77.6-79.5,0.9671
Virginia,"Augusta County, VA",707,77.6,77.6-79.5,1.301
Virginia,"Augusta County, VA",708,77.2,75.2-77.5,1.2492
Virginia,"Augusta County, VA",709,78.2,77.6-79.5,1.4915
Virginia,"Augusta County, VA",710,79.6,79.6-81.6,1.361
Virginia,"Augusta County, VA",711.01,75.4,75.2-77.5,1.0681
Virginia,"Augusta County, VA",711.02,78.9,77.6-79.5,1.2853
Virginia,"Augusta County, VA",712,77.6,77.6-79.5,0.9979
Virginia,"Bath County, VA",9201,77.4,75.2-77.5,2.1975
Virginia,"Bedford County, VA",301.01,80.6,79.6-81.6,1.1479
Virginia,"Bedford County, VA",301.03,83,81.7-97.5,1.5339
Virginia,"Bedford County, VA",301.04,77.6,77.6-79.5,1.2399
Virginia,"Bedford County, VA",302.01,82.3,81.7-97.5,1.613
Virginia,"Bedford County, VA",302.02,79.1,77.6-79.5,1.7238
Virginia,"Bedford County, VA",303,77.7,77.6-79.5,1.7595
Virginia,"Bedford County, VA",304.01,77.9,77.6-79.5,1.2747
Virginia,"Bedford County, VA",304.02,75.7,75.2-77.5,0.9246
Virginia,"Bedford County, VA",305.01,78.1,77.6-79.5,1.8658
Virginia,"Bedford County, VA",305.03,80.5,79.6-81.6,1.848
Virginia,"Bedford County, VA",305.04,74.8,56.9-75.1,3.4093
Virginia,"Bedford County, VA",306.01,75.9,75.2-77.5,1.3429
Virginia,"Bedford County, VA",306.02,77.9,77.6-79.5,1.3432
Virginia,"Bedford County, VA",306.03,73,56.9-75.1,1.3001
Virginia,"Bedford County, VA",306.04,74.6,56.9-75.1,1.2896
Virginia,"Bedford County, VA",306.05,74,56.9-75.1,2.7018
Virginia,"Bedford County, VA",501,,,
Virginia,"Bland County, VA",401,77,75.2-77.5,1.7733
Virginia,"Bland County, VA",402,72.7,56.9-75.1,1.5859
Virginia,"Botetourt County, VA",401,76.4,75.2-77.5,1.3923
Virginia,"Botetourt County, VA",402,77.4,75.2-77.5,1.3385
Virginia,"Botetourt County, VA",403.01,75.7,75.2-77.5,1.939
Virginia,"Botetourt County, VA",403.02,80.3,79.6-81.6,0.9847
Virginia,"Botetourt County, VA",404.01,79.4,77.6-79.5,2.2224
Virginia,"Botetourt County, VA",404.02,78.8,77.6-79.5,1.3575
Virginia,"Botetourt County, VA",405.01,81.7,81.7-97.5,1.4441
Virginia,"Botetourt County, VA",405.02,74.5,56.9-75.1,2.0172
Virginia,"Brunswick County, VA",9301,75.3,75.2-77.5,1.2074
Virginia,"Brunswick County, VA",9302.01,75.8,75.2-77.5,1.7228
Virginia,"Brunswick County, VA",9302.02,,,
Virginia,"Brunswick County, VA",9302.03,76.4,75.2-77.5,1.4699
Virginia,"Brunswick County, VA",9303,76.3,75.2-77.5,1.3864
Virginia,"Buchanan County, VA",101,70.9,56.9-75.1,1.3613
Virginia,"Buchanan County, VA",102,74.6,56.9-75.1,1.7246
Virginia,"Buchanan County, VA",103,78.1,77.6-79.5,2.1207
Virginia,"Buchanan County, VA",104,74.3,56.9-75.1,1.6318
Virginia,"Buchanan County, VA",105,76.3,75.2-77.5,3.2004
Virginia,"Buchanan County, VA",106,73,56.9-75.1,1.2288
Virginia,"Buchanan County, VA",107,72.1,56.9-75.1,1.9018
Virginia,"Buckingham County, VA",9301.01,77.2,75.2-77.5,1.4819
Virginia,"Buckingham County, VA",9301.02,75.7,75.2-77.5,1.518
Virginia,"Buckingham County, VA",9302.01,78.1,77.6-79.5,1.4796
Virginia,"Buckingham County, VA",9302.02,80.3,79.6-81.6,2.0877
Virginia,"Campbell County, VA",201.01,76.9,75.2-77.5,1.2279
Virginia,"Campbell County, VA",201.02,77,75.2-77.5,1.2715
Virginia,"Campbell County, VA",202,75.1,56.9-75.1,1.1331
Virginia,"Campbell County, VA",203,79.9,79.6-81.6,1.4809
Virginia,"Campbell County, VA",204.01,75.7,75.2-77.5,1.4196
Virginia,"Campbell County, VA",204.02,79.6,79.6-81.6,1.8733
Virginia,"Campbell County, VA",204.03,77.8,77.6-79.5,1.382
Virginia,"Campbell County, VA",205,76.3,75.2-77.5,1.334
Virginia,"Campbell County, VA",206,,,
Virginia,"Campbell County, VA",207,72.9,56.9-75.1,0.8245
Virginia,"Campbell County, VA",208,74.6,56.9-75.1,2.2798
Virginia,"Campbell County, VA",209,75.6,75.2-77.5,1.3369
Virginia,"Caroline County, VA",301,74.7,56.9-75.1,1.3076
Virginia,"Caroline County, VA",302.01,75.8,75.2-77.5,1.6214
Virginia,"Caroline County, VA",302.02,75.9,75.2-77.5,2.1032
Virginia,"Caroline County, VA",303,75.6,75.2-77.5,1.5746
Virginia,"Caroline County, VA",304,73.5,56.9-75.1,1.9791
Virginia,"Caroline County, VA",305,81.9,81.7-97.5,1.9211
Virginia,"Caroline County, VA",306,76.4,75.2-77.5,1.2793
Virginia,"Carroll County, VA",801,77.2,75.2-77.5,1.4612
Virginia,"Carroll County, VA",802,74.1,56.9-75.1,1.0629
Virginia,"Carroll County, VA",803,75.8,75.2-77.5,1.303
Virginia,"Carroll County, VA",804,78.1,77.6-79.5,1.5063
Virginia,"Carroll County, VA",805,78.2,77.6-79.5,1.4046
Virginia,"Carroll County, VA",806.01,75.9,75.2-77.5,2.0279
Virginia,"Carroll County, VA",806.02,75.5,75.2-77.5,1.3365
Virginia,"Charles City County, VA",6001,77.8,77.6-79.5,2.1651
